theta_name,theta_d_dir,run,seed,n,treated_proportion,model,state_idx,group,state_prevalence,fpr,fnr,tp,fn,fp,tn
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,0,D0_rin0_rout0,0.1265,0.015455065827132226,0.8695652173913043,33,220,27,1720
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,1,D0_rin0_rout1,0.0935,0.031991174848317705,0.7540106951871658,46,141,58,1755
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,2,D0_rin1_rout0,0.056,0.0,1.0,0,112,0,1888
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,3,D0_rin1_rout1,0.078,0.0005422993492407809,0.9871794871794872,2,154,1,1843
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,4,D1_rin0_rout0,0.01,0.0,1.0,0,20,0,1980
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,5,D1_rin0_rout1,0.049,0.014195583596214511,0.7142857142857143,28,70,27,1875
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,6,D1_rin1_rout0,0.063,0.027214514407684097,0.24603174603174602,95,31,51,1823
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,7,D1_rin1_rout1,0.524,0.6260504201680672,0.011450381679389313,1036,12,596,356
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,0,D0_rin0_rout0,0.1265,0.09101316542644533,0.525691699604743,120,133,159,1588
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,1,D0_rin0_rout1,0.0935,0.007170435741864313,0.8770053475935828,23,164,13,1800
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,2,D0_rin1_rout0,0.056,0.003707627118644068,0.9732142857142857,3,109,7,1881
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,3,D0_rin1_rout1,0.078,0.0016268980477223427,0.9935897435897436,1,155,3,1841
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,4,D1_rin0_rout0,0.01,0.00101010101010101,1.0,0,20,2,1978
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,5,D1_rin0_rout1,0.049,0.027339642481598318,0.6020408163265306,39,59,52,1850
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,6,D1_rin1_rout0,0.063,0.02294557097118463,0.3968253968253968,76,50,43,1831
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,7,D1_rin1_rout1,0.524,0.47058823529411764,0.035305343511450385,1011,37,448,504
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,0,D0_rin0_rout0,0.1435,0.03327495621716287,0.7700348432055749,66,221,57,1656
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,1,D0_rin0_rout1,0.0905,0.04892798240791644,0.6685082872928176,60,121,89,1730
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,2,D0_rin1_rout0,0.0675,0.0,1.0,0,135,0,1865
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,3,D0_rin1_rout1,0.0915,0.0,1.0,0,183,0,1817
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,4,D1_rin0_rout0,0.013,0.0,1.0,0,26,0,1974
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,5,D1_rin0_rout1,0.042,0.0005219206680584551,0.9880952380952381,1,83,1,1915
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,6,D1_rin1_rout0,0.061,0.03887113951011715,0.38524590163934425,75,47,73,1805
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,7,D1_rin1_rout1,0.491,0.6159135559921415,0.031568228105906315,951,31,627,391
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,dirgnn,0,D0_rin0_rout0,0.1435,0.09457092819614711,0.3693379790940767,181,106,162,1551
