theta_name,theta_d_dir,run,seed,n,treated_proportion,model,state_idx,group,state_prevalence,fpr,fnr,tp,fn,fp,tn
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,0,D0_rin0_rout0,0.1265,0.015455065827132226,0.8695652173913043,33,220,27,1720
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,1,D0_rin0_rout1,0.0935,0.031991174848317705,0.7540106951871658,46,141,58,1755
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,2,D0_rin1_rout0,0.056,0.0,1.0,0,112,0,1888
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,3,D0_rin1_rout1,0.078,0.0005422993492407809,0.9871794871794872,2,154,1,1843
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,4,D1_rin0_rout0,0.01,0.0,1.0,0,20,0,1980
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,5,D1_rin0_rout1,0.049,0.014195583596214511,0.7142857142857143,28,70,27,1875
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,6,D1_rin1_rout0,0.063,0.027214514407684097,0.24603174603174602,95,31,51,1823
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,7,D1_rin1_rout1,0.524,0.6260504201680672,0.011450381679389313,1036,12,596,356
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,0,D0_rin0_rout0,0.1265,0.05437893531768746,0.6284584980237155,94,159,95,1652
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,1,D0_rin0_rout1,0.0935,0.039713182570325425,0.6042780748663101,74,113,72,1741
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,2,D0_rin1_rout0,0.056,0.019597457627118644,0.7767857142857143,25,87,37,1851
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,3,D0_rin1_rout1,0.078,0.021149674620390455,0.8717948717948718,20,136,39,1805
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,4,D1_rin0_rout0,0.01,0.0,1.0,0,20,0,1980
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,5,D1_rin0_rout1,0.049,0.014195583596214511,0.6836734693877551,31,67,27,1875
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,6,D1_rin1_rout0,0.063,0.0240128068303095,0.3492063492063492,82,44,45,1829
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,7,D1_rin1_rout1,0.524,0.3760504201680672,0.04484732824427481,1001,47,358,594
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,0,D0_rin0_rout0,0.1435,0.03327495621716287,0.7700348432055749,66,221,57,1656
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,1,D0_rin0_rout1,0.0905,0.04892798240791644,0.6685082872928176,60,121,89,1730
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,2,D0_rin1_rout0,0.0675,0.0,1.0,0,135,0,1865
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,3,D0_rin1_rout1,0.0915,0.0,1.0,0,183,0,1817
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,4,D1_rin0_rout0,0.013,0.0,1.0,0,26,0,1974
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,5,D1_rin0_rout1,0.042,0.0005219206680584551,0.9880952380952381,1,83,1,1915
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,6,D1_rin1_rout0,0.061,0.03887113951011715,0.38524590163934425,75,47,73,1805
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,7,D1_rin1_rout1,0.491,0.6159135559921415,0.031568228105906315,951,31,627,391
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,dirgnn,0,D0_rin0_rout0,0.1435,0.08814944541739637,0.36585365853658536,182,105,151,1562
