model,DGP,num_runs,n,seed,gen_graph,tau_dir_true,tau_in_true,tau_out_true,tau_tot_true,features,clip,L,output_dim,variance_type,variance_method,bandwidth,tau_dir,tau_in,tau_out,tau_tot,mean_sigma_hat_tau_dir,mean_sigma_hat_tau_in,mean_sigma_hat_tau_out,mean_sigma_hat_tau_tot,MSE_tau_dir,MSE_tau_in,MSE_tau_out,MSE_tau_tot,cover_rate_tau_dir,cover_rate_tau_in,cover_rate_tau_out,cover_rate_tau_tot
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-2.017(0.108143),0.960(0.052172),1.048(0.042118),-0.008(0.037773),0.731485,0.422056,0.407292,0.285211,1.158(0.316589),0.271(0.051253),0.178(0.025804),0.141(0.020534),0.87,0.87,0.89,0.86
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-2.001(0.100118),1.038(0.057030),1.074(0.040577),-0.016(0.034821),0.703408,0.425039,0.412868,0.279036,0.992(0.170105),0.323(0.107177),0.168(0.025102),0.120(0.015152),0.85,0.94,0.9,0.85
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-2.001(0.100118),1.038(0.057030),1.074(0.040577),-0.016(0.034821),0.703408,0.425039,0.412868,0.279036,0.992(0.170105),0.323(0.107177),0.168(0.025102),0.120(0.015152),0.85,0.94,0.9,0.85
gnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,4,skeleton,max,3.0,-2.241(0.117017),1.028(0.063993),1.048(0.049852),0.092(0.041720),0.804091,0.452395,0.404117,0.318147,1.414(0.280209),0.406(0.116353),0.248(0.049572),0.181(0.036359),0.78,0.91,0.9,0.83
gnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-2.235(0.083605),1.085(0.061384),1.093(0.067187),0.066(0.041162),0.682846,0.401162,0.396801,0.281015,0.747(0.137696),0.380(0.170001),0.456(0.281522),0.172(0.034446),0.88,0.89,0.88,0.83
gnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,8,skeleton,max,3.0,-2.173(0.103085),1.017(0.049499),1.030(0.087088),0.078(0.040344),0.725832,0.397341,0.397331,0.278457,1.082(0.220753),0.243(0.038795),0.752(0.568193),0.167(0.030013),0.81,0.93,0.92,0.78
gnn,spillover,500,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,4,skeleton,max,3.0,-2.165(0.044662),1.025(0.024587),1.005(0.020283),0.078(0.019612),0.693655,0.413953,0.390544,0.305022,1.023(0.084692),0.302(0.035649),0.205(0.021017),0.198(0.021666),0.782,0.924,0.928,0.824
gnn,spillover,500,1500,123,rgg,-4.0,3.0,1.0,0.0,node_features,0.001,2,4,skeleton,max,3.0,-4.103(0.058914),3.002(0.025985),0.977(0.027947),0.049(0.019578),0.772984,0.441219,0.400258,0.302311,1.743(0.193103),0.337(0.047587),0.390(0.185020),0.194(0.024959),0.758,0.914,0.932,0.846
gnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,4,skeleton,max,3.0,-2.754(0.324196),0.988(0.092112),1.083(0.050187),0.042(0.070094),1.703509,0.512936,0.447706,0.36626,10.973(3.923737),0.840(0.383923),0.256(0.053935),0.488(0.310638),0.79,0.91,0.9,0.83
gnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,6,skeleton,max,3.0,-2.128(0.286511),1.102(0.102370),1.045(0.129004),0.066(0.041156),1.351132,0.538612,0.531503,0.280843,8.143(4.726288),1.048(0.600472),1.650(1.023914),0.172(0.034434),0.88,0.89,0.88,0.83
gnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,8,skeleton,max,3.0,-1.818(0.312792),1.017(0.049476),0.988(0.135775),0.078(0.040331),1.48054,0.397041,0.435107,0.278249,9.719(5.075676),0.243(0.038749),1.825(1.613203),0.167(0.029974),0.83,0.93,0.92,0.78
gnn,spillover,100,1500,123,er,-2.0,1.0,1.0,0.0,node_features,0.001,2,4,skeleton,max,2.0,-1.921(0.202742),1.286(0.173716),1.319(0.171956),0.406(0.159357),0.77957,0.909428,0.90885,0.673204,4.076(1.842251),3.069(1.662858),3.029(1.464917),2.679(1.651535),0.67,0.87,0.87,0.75
gnn,spillover,500,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-2.117(0.047885),1.038(0.033709),0.982(0.037007),0.025(0.026756),0.697502,0.436085,0.403487,0.298426,1.158(0.235096),0.568(0.206203),0.684(0.373407),0.358(0.190808),0.814,0.902,0.902,0.822
gnn,spillover,100,1500,123,er,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,2.0,-2.297(0.110190),1.149(0.114599),1.078(0.110662),0.137(0.087910),0.694499,0.816451,0.823735,0.599611,1.290(0.257293),1.322(0.289846),1.218(0.213437),0.784(0.130693),0.7,0.81,0.79,0.65
gnn,spillover,100,1500,123,er,-2.0,1.0,1.0,0.0,node_features,0.001,2,8,skeleton,max,2.0,-2.216(0.102456),1.130(0.084025),1.203(0.104608),0.256(0.079732),0.642105,0.734289,0.818816,0.547363,1.086(0.195394),0.716(0.094261),1.125(0.205357),0.695(0.099950),0.73,0.81,0.79,0.62
gnn,spillover,100,1500,123,er,-2.0,1.0,1.0,0.0,node_features,0.0001,2,4,skeleton,max,2.0,-1.200(0.768089),1.146(0.993807),2.014(0.739320),1.077(0.731350),1.950154,2.477184,2.061539,1.705709,59.046(37.619498),97.799(61.703258),55.140(35.840023),54.113(36.926154),0.69,0.88,0.88,0.77
gnn,spillover,100,1500,123,er,-2.0,1.0,1.0,0.0,node_features,0.0001,2,8,skeleton,max,2.0,-1.840(0.279171),1.312(0.221882),1.450(0.236365),0.432(0.220120),1.415202,1.301819,1.469192,1.115883,7.741(2.404050),4.971(1.868497),5.733(1.815268),4.984(1.911535),0.73,0.82,0.8,0.65

gnn,spillover,500,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,4,skeleton,max,3.0,-2.334(0.123905),0.989(0.038120),1.004(0.023091),0.068(0.022596),1.385209,0.455205,0.412853,0.314521,7.773(1.355394),0.725(0.272485),0.266(0.043438),0.259(0.065357),0.788,0.922,0.928,0.824
dirgnn,spillover,500,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,4,skeleton,max,3.0,-1.990(0.045287),0.971(0.027274),0.970(0.021927),0.003(0.019203),0.768699,0.428861,0.390654,0.30735,1.023(0.193456),0.372(0.064554),0.241(0.042910),0.184(0.019866),0.868,0.91,0.926,0.82

gnn,spillover,100,1500,123,er,-2.0,1.0,1.0,0.0,node_features,0.0001,2,6,skeleton,max,2.0,-2.649(0.294582),0.910(0.328630),0.614(0.273792),-0.345(0.255258),1.395683,1.618671,1.377622,1.104049,9.013(3.168588),10.700(3.648310),7.570(2.859215),6.569(2.796172),0.71,0.85,0.79,0.68
dirgnn,spillover,500,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-1.950(0.038989),0.954(0.024610),0.958(0.019839),-0.039(0.017320),0.676227,0.415993,0.365835,0.287386,0.761(0.076518),0.304(0.070471),0.198(0.030692),0.151(0.027917),0.872,0.908,0.906,0.858

gnn,spillover,500,1500,123,rgg,-4.0,3.0,1.0,0.0,node_features,0.0001,2,4,skeleton,max,3.0,-4.427(0.164030),2.990(0.032150),0.970(0.032752),0.050(0.019982),1.573752,0.463844,0.412939,0.3027,13.609(2.960389),0.516(0.126235),0.536(0.261220),0.202(0.030368),0.77,0.914,0.932,0.846
dirgnn,spillover,500,1500,123,rgg,-4.0,3.0,1.0,0.0,node_features,0.001,2,4,skeleton,max,3.0,-3.905(0.051737),2.847(0.032466),0.950(0.022489),-0.065(0.019306),0.87849,0.472489,0.39362,0.309353,1.345(0.124196),0.549(0.105771),0.255(0.041742),0.190(0.019077),0.832,0.858,0.924,0.81

dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,4,skeleton,max,3.0,-2.229(0.138148),1.020(0.065620),1.089(0.057542),0.058(0.046882),0.8736,0.403168,0.39822,0.300904,1.942(0.925135),0.427(0.169954),0.336(0.174057),0.221(0.040218),0.9,0.91,0.96,0.77
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,4,directed,dir_avg,3.03,-2.229(0.138148),1.020(0.065620),1.089(0.057542),0.058(0.046882),0.868818,0.392886,0.388498,0.289161,1.942(0.925135),0.427(0.169954),0.336(0.174057),0.221(0.040218),0.9,0.9,0.96,0.77
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,4,directed,dir_max,3.03,-2.229(0.138148),1.020(0.065620),1.089(0.057542),0.058(0.046882),0.869612,0.393985,0.389791,0.289434,1.942(0.925135),0.427(0.169954),0.336(0.174057),0.221(0.040218),0.91,0.9,0.96,0.77
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,skeleton,max,3.0,-2.052(0.086489),0.963(0.052754),0.993(0.049376),-0.034(0.036338),0.702285,0.408909,0.370308,0.284566,0.743(0.114008),0.277(0.096693),0.241(0.099219),0.132(0.023782),0.87,0.9,0.88,0.85
gnn,spillover,500,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,6,skeleton,max,3.0,-2.072(0.168322),1.156(0.154232),0.915(0.096315),-0.033(0.078773),1.496,0.712943,0.524716,0.349007,14.143(4.551519),11.894(6.880623),4.636(3.580525),3.097(2.924341),0.828,0.902,0.902,0.822
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,directed,dir_avg,3.03,-2.052(0.086489),0.963(0.052754),0.993(0.049376),-0.034(0.036338),0.695217,0.401759,0.361911,0.272154,0.743(0.114008),0.277(0.096693),0.241(0.099219),0.132(0.023782),0.85,0.9,0.88,0.84
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,6,directed,dir_max,3.03,-2.052(0.086489),0.963(0.052754),0.993(0.049376),-0.034(0.036338),0.696018,0.402933,0.363037,0.272568,0.743(0.114008),0.277(0.096693),0.241(0.099219),0.132(0.023782),0.85,0.9,0.88,0.84
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,8,skeleton,max,3.0,-2.011(0.093684),0.986(0.048903),1.016(0.035780),-0.021(0.037806),0.733506,0.385508,0.342374,0.275917,0.869(0.164564),0.237(0.034532),0.127(0.017446),0.142(0.021688),0.9,0.9,0.9,0.8
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,8,directed,dir_avg,3.03,-2.011(0.093684),0.986(0.048903),1.016(0.035780),-0.021(0.037806),0.72921,0.377223,0.333257,0.26471,0.869(0.164564),0.237(0.034532),0.127(0.017446),0.142(0.021688),0.9,0.9,0.92,0.79
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.001,2,8,directed,dir_max,3.03,-2.011(0.093684),0.986(0.048903),1.016(0.035780),-0.021(0.037806),0.730112,0.379093,0.334279,0.264942,0.869(0.164564),0.237(0.034532),0.127(0.017446),0.142(0.021688),0.9,0.9,0.92,0.79
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,4,skeleton,max,3.0,-3.659(0.717726),1.021(0.063085),1.281(0.236966),0.027(0.062002),2.349294,0.404639,0.630812,0.331241,53.750(33.280813),0.394(0.147697),5.638(5.470048),0.381(0.174272),0.91,0.91,0.96,0.77
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,4,directed,dir_avg,3.03,-3.659(0.717726),1.021(0.063085),1.281(0.236966),0.027(0.062002),2.344989,0.394519,0.654096,0.319538,53.750(33.280813),0.394(0.147697),5.638(5.470048),0.381(0.174272),0.91,0.9,0.96,0.77
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,4,directed,dir_max,3.03,-3.659(0.717726),1.021(0.063085),1.281(0.236966),0.027(0.062002),2.345844,0.395605,0.660375,0.31981,53.750(33.280813),0.394(0.147697),5.638(5.470048),0.381(0.174272),0.92,0.9,0.96,0.77
dirgnn,spillover,100,1500,123,rgg,-2.0,1.0,1.0,0.0,node_features,0.0001,2,6,skeleton,max,3.0,-2.362(0.251010),1.198(0.269973),0.815(0.211575),-0.034(0.036329),1.40297,0.558881,0.496364,0.284379,6.368(1.901494),7.255(7.067888),4.466(4.318097),0.132(0.023757),0.89,0.9,0.88,0.85

